what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.306.v200810210016,org.eclipse.wst.xml.core,1259575832715
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1259575833132
started,bundle,org.eclipse.wst.common.modulecore,1.1.204.v200811062000,org.eclipse.wst.common.modulecore,1259575833331
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259575835765
started,bundle,org.eclipse.wst.validation,1.2.3.v200811101716,org.eclipse.wst.validation,1259575835890
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259575835908
started,bundle,org.eclipse.jst.j2ee,1.1.204.v200811130630,org.eclipse.jst.j2ee,1259575836050
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259575842629
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259575845990
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259575846485
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259575856738
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259575869723
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259582994718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259582999766
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583331400
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583333320
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583429834
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583436993
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583475726
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583475812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583478228
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583478487
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583479157
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1259583479301
started,bundle,org.eclipse.wst.sse.ui,1.1.3.v200810301815,org.eclipse.wst.sse.ui,1259583479432
