what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1259574191672
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259574192015
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1259574192121
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259574192276
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1259574192376
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1259574192891
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574196193
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574209600
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574253826
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574255422
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574256601
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574261095
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1259574263699
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1259574283156
started,bundle,org.eclipse.wst.server.core,1.1.2.v20081020,org.eclipse.wst.server.core,1259574290359
started,bundle,org.eclipse.wst.server.ui,1.1.3.v20080930,org.eclipse.wst.server.ui,1259574290451
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1259574290551
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1259574290753
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574290969
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574296068
started,bundle,org.eclipse.wst.xsl.debug.ui,0.5.0.v20080811,org.eclipse.wst.xsl.debug.ui,1259574297164
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574297923
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574312253
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259574314229
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259574314454
