what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574337002
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574340185
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574340570
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574385856
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259574421134
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259574421136
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1259574423658
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259574423977
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259574424042
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574435486
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574438782
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574439230
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574445958
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574452541
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259575821709
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259575823986
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259575829820
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1259575830733
started,bundle,org.eclipse.jst.j2ee.core,1.1.202.v200811111600,org.eclipse.jst.j2ee.core,1259575830810
started,bundle,org.eclipse.jem,2.0.202.v200810282000,org.eclipse.jem,1259575830943
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200808251517,org.eclipse.emf.ecore.xmi,1259575831025
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1259575831411
started,bundle,org.eclipse.jst.jee,1.0.102.v200811060500,org.eclipse.jst.jee,1259575831962
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1259575832523
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1259575832643
